ID,id,lat,lon,datetime
CP011950,               HIKI,20.7,-153.4,1950-08-15 06:00:00
CP011950,               HIKI,21.4,-154.4,1950-08-15 12:00:00
CP011950,               HIKI,22.3,-155.6,1950-08-15 18:00:00
CP011950,               HIKI,23.0,-156.6,1950-08-16 00:00:00
CP011950,               HIKI,23.7,-157.5,1950-08-16 06:00:00
CP011950,               HIKI,24.3,-158.4,1950-08-16 12:00:00
CP011950,               HIKI,24.7,-159.6,1950-08-16 18:00:00
CP011950,               HIKI,24.7,-160.8,1950-08-17 00:00:00
CP011950,               HIKI,24.5,-161.6,1950-08-17 06:00:00
CP011950,               HIKI,24.0,-162.4,1950-08-17 12:00:00
CP011950,               HIKI,23.6,-163.1,1950-08-17 18:00:00
CP011950,               HIKI,23.3,-163.8,1950-08-18 00:00:00
CP011950,               HIKI,22.8,-164.7,1950-08-18 06:00:00
CP011950,               HIKI,22.6,-165.6,1950-08-18 12:00:00
CP011950,               HIKI,22.5,-166.5,1950-08-18 18:00:00
CP011950,               HIKI,22.5,-167.4,1950-08-19 00:00:00
CP011950,               HIKI,22.6,-168.7,1950-08-19 06:00:00
CP011950,               HIKI,22.7,-169.7,1950-08-19 12:00:00
CP011950,               HIKI,23.2,-170.4,1950-08-19 18:00:00
CP011950,               HIKI,23.6,-171.5,1950-08-20 00:00:00
CP011950,               HIKI,24.1,-172.4,1950-08-20 06:00:00
CP011950,               HIKI,24.7,-173.7,1950-08-20 12:00:00
CP011950,               HIKI,25.3,-174.3,1950-08-20 18:00:00
CP011950,               HIKI,26.0,-175.7,1950-08-21 00:00:00
CP011950,               HIKI,26.7,-176.9,1950-08-21 06:00:00
CP011950,               HIKI,27.4,-178.0,1950-08-21 12:00:00
EP041950,            UNNAMED,17.5,-116.8,1950-08-12 12:00:00
EP041950,            UNNAMED,17.7,-116.8,1950-08-12 18:00:00
EP041950,            UNNAMED,18.0,-117.1,1950-08-13 00:00:00
EP041950,            UNNAMED,18.4,-117.7,1950-08-13 06:00:00
EP041950,            UNNAMED,18.8,-118.7,1950-08-13 12:00:00
EP051950,            UNNAMED,17.3,-131.5,1950-08-26 12:00:00
EP051950,            UNNAMED,17.7,-132.4,1950-08-26 18:00:00
EP051950,            UNNAMED,17.9,-133.2,1950-08-27 00:00:00
EP051950,            UNNAMED,17.9,-133.8,1950-08-27 06:00:00
EP051950,            UNNAMED,18.0,-134.4,1950-08-27 12:00:00
EP051950,            UNNAMED,18.1,-135.1,1950-08-27 18:00:00
EP051950,            UNNAMED,18.3,-135.8,1950-08-28 00:00:00
EP051950,            UNNAMED,18.5,-136.4,1950-08-28 06:00:00
EP051950,            UNNAMED,18.6,-137.0,1950-08-28 12:00:00
EP051950,            UNNAMED,18.7,-137.5,1950-08-28 18:00:00
EP051950,            UNNAMED,18.8,-138.1,1950-08-29 00:00:00
EP051950,            UNNAMED,18.9,-138.8,1950-08-29 06:00:00
EP051950,            UNNAMED,19.0,-139.6,1950-08-29 12:00:00
EP051950,            UNNAMED,19.1,-140.3,1950-08-29 18:00:00
EP051950,            UNNAMED,19.3,-141.1,1950-08-30 00:00:00
EP051950,            UNNAMED,19.5,-142.0,1950-08-30 06:00:00
EP051950,            UNNAMED,19.7,-143.0,1950-08-30 12:00:00
EP061950,            UNNAMED,14.0,-108.7,1950-10-01 12:00:00
EP061950,            UNNAMED,14.7,-109.0,1950-10-01 18:00:00
EP061950,            UNNAMED,15.2,-109.4,1950-10-02 00:00:00
EP061950,            UNNAMED,15.4,-109.7,1950-10-02 06:00:00
EP061950,            UNNAMED,15.6,-110.0,1950-10-02 12:00:00
EP061950,            UNNAMED,15.9,-110.4,1950-10-02 18:00:00
EP061950,            UNNAMED,16.2,-110.9,1950-10-03 00:00:00
EP061950,            UNNAMED,16.5,-111.4,1950-10-03 06:00:00
EP061950,            UNNAMED,16.9,-111.9,1950-10-03 12:00:00
EP011951,            UNNAMED,11.0,-104.4,1951-05-17 12:00:00
EP011951,            UNNAMED,11.5,-104.3,1951-05-17 18:00:00
EP011951,            UNNAMED,12.1,-104.1,1951-05-18 00:00:00
EP011951,            UNNAMED,12.8,-103.9,1951-05-18 06:00:00
EP011951,            UNNAMED,13.6,-103.8,1951-05-18 12:00:00
EP011951,            UNNAMED,14.3,-103.6,1951-05-18 18:00:00
EP011951,            UNNAMED,15.0,-103.3,1951-05-19 00:00:00
EP011951,            UNNAMED,15.5,-103.1,1951-05-19 06:00:00
EP011951,            UNNAMED,15.9,-103.0,1951-05-19 12:00:00
EP011951,            UNNAMED,16.4,-102.9,1951-05-19 18:00:00
EP011951,            UNNAMED,16.9,-102.8,1951-05-20 00:00:00
EP011951,            UNNAMED,17.4,-102.6,1951-05-20 06:00:00
EP011951,            UNNAMED,17.8,-102.4,1951-05-20 12:00:00
EP011951,            UNNAMED,18.1,-102.0,1951-05-20 18:00:00
EP011951,            UNNAMED,18.3,-101.4,1951-05-21 00:00:00
EP021951,            UNNAMED,13.8,-95.7,1951-06-01 00:00:00
EP021951,            UNNAMED,14.7,-97.4,1951-06-01 06:00:00
EP021951,            UNNAMED,15.6,-98.8,1951-06-01 12:00:00
EP021951,            UNNAMED,16.7,-99.9,1951-06-01 18:00:00
EP021951,            UNNAMED,17.8,-100.5,1951-06-02 00:00:00
EP031951,            UNNAMED,16.7,-100.8,1951-06-26 12:00:00
EP031951,            UNNAMED,16.9,-101.5,1951-06-26 18:00:00
EP031951,            UNNAMED,17.0,-102.2,1951-06-27 00:00:00
EP031951,            UNNAMED,17.1,-103.0,1951-06-27 06:00:00
EP031951,            UNNAMED,17.2,-103.8,1951-06-27 12:00:00
EP041951,            UNNAMED,16.7,-104.1,1951-07-05 12:00:00
EP041951,            UNNAMED,17.2,-105.0,1951-07-05 18:00:00
EP041951,            UNNAMED,17.8,-105.8,1951-07-06 00:00:00
EP041951,            UNNAMED,18.4,-106.4,1951-07-06 06:00:00
EP041951,            UNNAMED,19.0,-106.9,1951-07-06 12:00:00
EP051951,            UNNAMED,10.6,-94.5,1951-08-03 12:00:00
EP051951,            UNNAMED,11.0,-95.4,1951-08-03 18:00:00
EP051951,            UNNAMED,11.5,-96.2,1951-08-04 00:00:00
EP051951,            UNNAMED,11.9,-96.9,1951-08-04 06:00:00
EP051951,            UNNAMED,12.3,-97.7,1951-08-04 12:00:00
EP051951,            UNNAMED,12.5,-98.7,1951-08-04 18:00:00
EP051951,            UNNAMED,12.7,-100.1,1951-08-05 00:00:00
EP051951,            UNNAMED,12.9,-101.9,1951-08-05 06:00:00
EP051951,            UNNAMED,13.4,-103.8,1951-08-05 12:00:00
EP051951,            UNNAMED,14.2,-105.6,1951-08-05 18:00:00
EP051951,            UNNAMED,15.1,-107.3,1951-08-06 00:00:00
EP051951,            UNNAMED,16.0,-108.8,1951-08-06 06:00:00
EP051951,            UNNAMED,16.9,-110.2,1951-08-06 12:00:00
EP051951,            UNNAMED,17.3,-111.2,1951-08-06 18:00:00
EP051951,            UNNAMED,17.5,-112.2,1951-08-07 00:00:00
EP051951,            UNNAMED,17.5,-113.8,1951-08-07 06:00:00
EP051951,            UNNAMED,17.5,-115.3,1951-08-07 12:00:00
EP051951,            UNNAMED,17.7,-116.6,1951-08-07 18:00:00
EP051951,            UNNAMED,18.0,-117.8,1951-08-08 00:00:00
EP051951,            UNNAMED,18.2,-118.7,1951-08-08 06:00:00
EP051951,            UNNAMED,18.4,-119.7,1951-08-08 12:00:00
EP051951,            UNNAMED,18.6,-121.0,1951-08-08 18:00:00
EP051951,            UNNAMED,18.8,-122.3,1951-08-09 00:00:00
EP051951,            UNNAMED,19.1,-123.5,1951-08-09 06:00:00
EP051951,            UNNAMED,19.4,-124.8,1951-08-09 12:00:00
EP051951,            UNNAMED,19.5,-125.8,1951-08-09 18:00:00
EP051951,            UNNAMED,19.6,-126.8,1951-08-10 00:00:00
EP051951,            UNNAMED,19.7,-127.9,1951-08-10 06:00:00
EP051951,            UNNAMED,19.7,-129.0,1951-08-10 12:00:00
EP061951,            UNNAMED,15.6,-101.0,1951-08-24 12:00:00
EP061951,            UNNAMED,16.6,-103.4,1951-08-24 18:00:00
EP061951,            UNNAMED,17.4,-105.1,1951-08-25 00:00:00
EP061951,            UNNAMED,17.9,-106.2,1951-08-25 06:00:00
EP061951,            UNNAMED,18.5,-107.3,1951-08-25 12:00:00
EP061951,            UNNAMED,19.2,-108.5,1951-08-25 18:00:00
EP061951,            UNNAMED,20.0,-109.7,1951-08-26 00:00:00
EP061951,            UNNAMED,20.8,-110.9,1951-08-26 06:00:00
EP061951,            UNNAMED,21.6,-112.0,1951-08-26 12:00:00
EP061951,            UNNAMED,22.1,-113.6,1951-08-26 18:00:00
EP061951,            UNNAMED,22.5,-115.1,1951-08-27 00:00:00
EP061951,            UNNAMED,23.3,-115.6,1951-08-27 06:00:00
EP061951,            UNNAMED,24.3,-115.8,1951-08-27 12:00:00
EP061951,            UNNAMED,25.6,-115.9,1951-08-27 18:00:00
EP061951,            UNNAMED,26.9,-116.0,1951-08-28 00:00:00
EP061951,            UNNAMED,27.9,-116.0,1951-08-28 06:00:00
EP061951,            UNNAMED,28.8,-116.0,1951-08-28 12:00:00
EP061951,            UNNAMED,29.9,-115.8,1951-08-28 18:00:00
EP061951,            UNNAMED,31.0,-115.5,1951-08-29 00:00:00
EP061951,            UNNAMED,31.7,-115.3,1951-08-29 06:00:00
EP061951,            UNNAMED,31.9,-115.2,1951-08-29 12:00:00
EP071951,            UNNAMED,17.1,-105.6,1951-09-11 12:00:00
EP071951,            UNNAMED,17.9,-105.6,1951-09-11 18:00:00
EP071951,            UNNAMED,18.6,-105.7,1951-09-12 00:00:00
EP071951,            UNNAMED,19.2,-105.7,1951-09-12 06:00:00
EP071951,            UNNAMED,19.8,-105.8,1951-09-12 12:00:00
EP071951,            UNNAMED,20.4,-106.2,1951-09-12 18:00:00
EP071951,            UNNAMED,20.9,-106.7,1951-09-13 00:00:00
EP071951,            UNNAMED,21.2,-106.9,1951-09-13 06:00:00
EP071951,            UNNAMED,21.4,-107.2,1951-09-13 12:00:00
EP071951,            UNNAMED,21.6,-107.5,1951-09-13 18:00:00
EP071951,            UNNAMED,21.8,-107.8,1951-09-14 00:00:00
EP071951,            UNNAMED,21.9,-108.1,1951-09-14 06:00:00
EP071951,            UNNAMED,21.9,-108.4,1951-09-14 12:00:00
EP071951,            UNNAMED,21.8,-108.8,1951-09-14 18:00:00
EP071951,            UNNAMED,21.7,-109.4,1951-09-15 00:00:00
EP071951,            UNNAMED,21.7,-110.2,1951-09-15 06:00:00
EP071951,            UNNAMED,21.9,-110.9,1951-09-15 12:00:00
EP081951,            UNNAMED,13.4,-100.7,1951-09-23 12:00:00
EP081951,            UNNAMED,13.5,-101.7,1951-09-23 18:00:00
EP081951,            UNNAMED,13.8,-102.6,1951-09-24 00:00:00
EP081951,            UNNAMED,14.3,-103.3,1951-09-24 06:00:00
EP081951,            UNNAMED,14.8,-104.0,1951-09-24 12:00:00
EP081951,            UNNAMED,15.2,-105.0,1951-09-24 18:00:00
EP081951,            UNNAMED,15.5,-106.1,1951-09-25 00:00:00
EP081951,            UNNAMED,15.7,-107.1,1951-09-25 06:00:00
EP081951,            UNNAMED,16.0,-108.0,1951-09-25 12:00:00
EP081951,            UNNAMED,16.3,-109.1,1951-09-25 18:00:00
EP081951,            UNNAMED,16.7,-110.2,1951-09-26 00:00:00
EP081951,            UNNAMED,17.2,-111.5,1951-09-26 06:00:00
EP081951,            UNNAMED,17.8,-112.8,1951-09-26 12:00:00
EP081951,            UNNAMED,18.2,-113.5,1951-09-26 18:00:00
EP081951,            UNNAMED,18.6,-114.1,1951-09-27 00:00:00
EP081951,            UNNAMED,19.0,-114.8,1951-09-27 06:00:00
EP081951,            UNNAMED,19.4,-115.6,1951-09-27 12:00:00
EP081951,            UNNAMED,19.6,-116.4,1951-09-27 18:00:00
EP081951,            UNNAMED,19.7,-117.3,1951-09-28 00:00:00
EP081951,            UNNAMED,19.8,-118.5,1951-09-28 06:00:00
EP081951,            UNNAMED,19.9,-119.9,1951-09-28 12:00:00
EP091951,            UNNAMED,14.0,-104.0,1951-11-27 12:00:00
EP091951,            UNNAMED,14.5,-105.0,1951-11-27 18:00:00
EP091951,            UNNAMED,15.1,-105.9,1951-11-28 00:00:00
EP091951,            UNNAMED,15.9,-106.7,1951-11-28 06:00:00
EP091951,            UNNAMED,16.7,-107.2,1951-11-28 12:00:00
EP091951,            UNNAMED,17.3,-107.6,1951-11-28 18:00:00
EP091951,            UNNAMED,17.9,-107.9,1951-11-29 00:00:00
EP091951,            UNNAMED,18.7,-108.2,1951-11-29 06:00:00
EP091951,            UNNAMED,19.6,-108.5,1951-11-29 12:00:00
EP091951,            UNNAMED,20.9,-108.8,1951-11-29 18:00:00
EP091951,            UNNAMED,22.2,-108.9,1951-11-30 00:00:00
EP091951,            UNNAMED,23.1,-108.9,1951-11-30 06:00:00
EP091951,            UNNAMED,24.0,-108.9,1951-11-30 12:00:00
EP011952,            UNNAMED,12.9,-112.7,1952-05-29 12:00:00
EP011952,            UNNAMED,13.5,-112.2,1952-05-29 18:00:00
EP011952,            UNNAMED,14.1,-111.7,1952-05-30 00:00:00
EP011952,            UNNAMED,14.8,-111.2,1952-05-30 06:00:00
EP011952,            UNNAMED,15.4,-110.7,1952-05-30 12:00:00
EP011952,            UNNAMED,16.0,-110.1,1952-05-30 18:00:00
EP011952,            UNNAMED,16.6,-109.4,1952-05-31 00:00:00
EP011952,            UNNAMED,17.1,-108.8,1952-05-31 06:00:00
EP011952,            UNNAMED,17.5,-108.1,1952-05-31 12:00:00
EP021952,            UNNAMED,14.6,-99.3,1952-06-12 12:00:00
EP021952,            UNNAMED,14.8,-100.0,1952-06-12 18:00:00
EP021952,            UNNAMED,15.1,-100.7,1952-06-13 00:00:00
EP021952,            UNNAMED,15.6,-101.3,1952-06-13 06:00:00
EP021952,            UNNAMED,16.1,-101.9,1952-06-13 12:00:00
EP021952,            UNNAMED,16.3,-102.7,1952-06-13 18:00:00
EP021952,            UNNAMED,16.5,-103.6,1952-06-14 00:00:00
EP021952,            UNNAMED,16.8,-104.2,1952-06-14 06:00:00
EP021952,            UNNAMED,17.1,-104.8,1952-06-14 12:00:00
EP021952,            UNNAMED,17.3,-105.7,1952-06-14 18:00:00
EP021952,            UNNAMED,17.4,-106.6,1952-06-15 00:00:00
EP021952,            UNNAMED,17.5,-107.3,1952-06-15 06:00:00
EP021952,            UNNAMED,17.7,-107.7,1952-06-15 12:00:00
EP021952,            UNNAMED,18.0,-107.9,1952-06-15 18:00:00
